Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Status,Energy Source 1,Energy Source 2,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,Le Flore,GEN1,ST,,175.0,160.0,160.0,OP,BIT,SUB,9,1990, , 
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,Le Flore,GEN2,ST,,175.0,160.0,160.0,OP,BIT,SUB,11,1990, , 
56730,Cedar Bay Operating Services LLC,10672,Cedar Bay Generating Company LP,FL,Duval,GEN1,ST,,291.6,250.0,250.0,OP,BIT,WDS,1,1994,12,2017
177,AES Hawaii Inc,10673,AES Hawaii,HI,Honolulu,GEN1,ST,,203.0,180.0,180.0,OP,BIT,WO,5,1992,9,2022
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN2,ST,,35.0,32.0,31.5,SB,BIT,PC,7,1987,5,2015
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN3,ST,,114.0,114.0,120.0,SB,BIT,PC,7,1987,5,2015
35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,MD,Allegany,GEN1,ST,,229.0,180.0,180.0,OP,BIT,DFO,8,1999, , 
49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,CA,San Bernardino,TG5,ST,,7.5,7.0,7.0,OA,RC,NG,12,1947, , 
49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,CA,San Bernardino,TG8,ST,,27.5,25.0,25.0,OP,RC,NG,7,1978, , 
49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,CA,San Bernardino,TG9,ST,,27.5,25.0,25.0,OP,RC,NG,7,1978, , 
